('45', 2.6516633802859886)
('54', 2.651663380285988)
('46', 2.6451131599654527)
('53', 2.645113159965452)
('47', 2.631244940486324)
('52', 2.631244940486324)
('34', 2.6123056420714272)
('35', 2.6123056420714272)
('43', 2.6123056420714272)
('56', 2.6123056420714272)
('64', 2.6123056420714272)
('65', 2.6123056420714272)
('48', 2.6077597850303564)
('51', 2.607759785030356)
('36', 2.6057554217508914)
('63', 2.6057554217508914)
('42', 2.5984374225922986)
('57', 2.5984374225922986)
('37', 2.591887202271763)
('62', 2.591887202271763)
('41', 2.5749522671363314)
('58', 2.574952267136331)
('61', 2.5684020468157955)
('38', 2.568402046815795)
('49', 2.5624665349005484)
('50', 2.5624665349005484)
('40', 2.529659017006523)
('59', 2.529659017006523)
('39', 2.523108796685987)
('60', 2.523108796685987)
('24', 2.4953651900969)
('25', 2.4953651900969)
('74', 2.4953651900969)
('75', 2.4953651900969)
('23', 2.4888149697763637)
('26', 2.4888149697763637)
('32', 2.4888149697763637)
('67', 2.4888149697763637)
('73', 2.4888149697763637)
('76', 2.4888149697763637)
('27', 2.4749467502972355)
('72', 2.4749467502972355)
('68', 2.4653298143203966)
('31', 2.465329814320396)
('28', 2.451461594841268)
('71', 2.451461594841268)
('69', 2.420036564190588)
('30', 2.4200365641905877)
('29', 2.40616834471146)
('70', 2.4061683447114595)
('84', 2.279126184134066)
('85', 2.279126184134066)
('14', 2.2791261841340655)
('15', 2.2791261841340655)
('13', 2.2725759638135297)
('16', 2.2725759638135297)
('83', 2.2725759638135297)
('86', 2.2725759638135297)
('12', 2.258707744334402)
('17', 2.258707744334402)
('78', 2.258707744334402)
('21', 2.2587077443344015)
('82', 2.2587077443344015)
('87', 2.2587077443344015)
('18', 2.235222588878434)
('81', 2.235222588878434)
('20', 2.2134144942045935)
('79', 2.2134144942045935)
('19', 2.189929338748626)
('80', 2.189929338748626)
('44', 1.9191564864184025)
('55', 1.9191564864184023)
('66', 1.847104062892507)
('33', 1.8471040628925066)
('05', 1.8424665349005487)
('94', 1.8424665349005485)
('95', 1.8424665349005485)
('04', 1.8424665349005482)
('03', 1.8359163145800124)
('06', 1.8359163145800124)
('93', 1.8359163145800124)
('96', 1.8359163145800124)
('02', 1.8220480951008842)
('07', 1.8220480951008842)
('92', 1.8220480951008842)
('97', 1.8220480951008842)
('01', 1.7985629396449165)
('08', 1.7985629396449165)
('10', 1.7985629396449165)
('89', 1.7985629396449165)
('91', 1.7985629396449165)
('98', 1.7985629396449165)
('09', 1.7532696895151085)
('90', 1.7532696895151085)
('22', 1.6945536486220965)
('77', 1.6945536486220962)
('11', 1.4362169386064516)
('88', 1.4362169386064516)
('99', 0.9379911871785623)
('00', 0.9379911871785622)
