('54623', 7.361031585815492)
('54632', 7.361031585815489)
('54631', 7.361008100660031)
('54630', 7.360962807409905)
('54613', 7.3608153468095265)
('54612', 7.360801478590047)
('54621', 7.360801478590046)
('54620', 7.360756185339918)
('54362', 7.360661024466973)
('54361', 7.360637539311517)
('54360', 7.360592246061389)
('54326', 7.360557952234477)
('54372', 7.360544084014998)
('54327', 7.360544084014997)
('54371', 7.360520598859542)
('54328', 7.360520598859541)
('54370', 7.360475305609413)
('54329', 7.360475305609411)
('54603', 7.360378687160293)
('54602', 7.3603648189408135)
('54316', 7.360341713228514)
('54601', 7.360341333785359)
('54610', 7.360341333785358)
('54382', 7.360327845009034)
('54317', 7.360327845009033)
('54381', 7.360304359853578)
('54318', 7.360304359853577)
('54380', 7.36025906660345)
('54319', 7.360259066603447)
('54263', 7.359963736150887)
('54236', 7.359963736150886)
('54237', 7.359949867931407)
('54238', 7.359926382775951)
('54306', 7.359905053579283)
('54307', 7.359891185359804)
('54392', 7.359891185359801)
('54239', 7.359881089525821)
('54308', 7.359867700204348)
('54391', 7.359867700204345)
('54273', 7.359846795698914)
('54723', 7.359846795698907)
('54732', 7.359846795698906)
('54731', 7.35982331054345)
('54309', 7.359822406954218)
('54390', 7.359822406954216)
('54730', 7.359778017293322)
('54283', 7.3596305566929505)
('54713', 7.359630556692943)
('54712', 7.359616688473466)
('54721', 7.359616688473465)
('54720', 7.359571395223337)
('54293', 7.359193897043717)
('54703', 7.35919389704371)
('54702', 7.35918002882423)
('54710', 7.359156543668777)
('54701', 7.359156543668775)
('54261', 7.3589161939364764)
('54260', 7.358870900686348)
('54271', 7.358799253484501)
('54270', 7.358753960234375)
('54216', 7.358620367853475)
('54217', 7.358606499633995)
('54281', 7.35858301447854)
('54218', 7.358583014478539)
('54280', 7.358537721228411)
('54219', 7.358537721228409)
('56423', 7.358347184059432)
('56432', 7.358347184059429)
('56431', 7.358323698903973)
('56430', 7.358278405653847)
('54367', 7.358267090999982)
('54376', 7.358267090999982)
('54368', 7.358243605844526)
('54369', 7.358198312594396)
('54206', 7.358183708204242)
('54207', 7.358169839984764)
('54208', 7.358146354829308)
('54291', 7.358146354829306)
('56413', 7.358130945053468)
('56412', 7.358117076833991)
('56421', 7.358117076833988)
('54209', 7.358101061579178)
('54290', 7.358101061579178)
('56420', 7.358071783583862)
('54386', 7.358050851994019)
('54378', 7.358036983774539)
('54387', 7.358036983774539)
('54379', 7.357991690524409)
('56342', 7.357975537593932)
('56341', 7.357952052438476)
('56340', 7.357906759188349)
('54637', 7.357896529651464)
('54638', 7.357873044496008)
('56324', 7.357872465361437)
('54639', 7.357827751245878)
('54673', 7.357793457418969)
('54627', 7.35777958919949)
('54672', 7.35777958919949)
('54163', 7.35777497694312)
('54136', 7.357774976943118)
('54162', 7.357761108723641)
('54137', 7.357761108723638)
('54628', 7.357756104044034)
('54671', 7.357756104044034)
('54138', 7.357737623568182)
('54670', 7.357710810793905)
('54629', 7.357710810793904)
('56403', 7.357694285404235)
('54139', 7.357692330318052)
('56402', 7.357680417184757)
('54823', 7.357658036491147)
('54832', 7.357658036491146)
('54173', 7.357658036491145)
('54126', 7.357658036491144)
('56401', 7.357656932029302)
('56410', 7.357656932029302)
('56314', 7.357656226355475)
('54172', 7.357644168271666)
('54127', 7.357644168271664)
('54831', 7.35763455133569)
('54128', 7.357620683116208)
('54396', 7.357614192344785)
('54397', 7.357600324125306)
('54830', 7.357589258085562)
('54683', 7.357577218413006)
('54389', 7.35757683896985)
('54398', 7.35757683896985)
('54129', 7.357575389866078)
('54617', 7.3575633501935265)
('54682', 7.3575633501935265)
('54618', 7.357539865038071)
('54681', 7.357539865038071)
('54680', 7.357494571787941)
('54619', 7.3574945717879405)
('54813', 7.357441797485185)
('54183', 7.357441797485182)
('54812', 7.357427929265706)
('54821', 7.357427929265705)
('54182', 7.357427929265704)
('54820', 7.3573826360155765)
('56243', 7.357278249277846)
('56234', 7.3572782492778455)
('56304', 7.357219566706243)
('54736', 7.357199241335377)
('54763', 7.357199241335377)
('54762', 7.357185373115898)
('54761', 7.357161887960442)
('54693', 7.357140558763772)
('54607', 7.357126690544294)
('54692', 7.357126690544293)
('54760', 7.3571165947103125)
('54608', 7.357103205388838)
('54691', 7.357103205388837)
('54726', 7.357082300883403)
('54267', 7.357082300883402)
('54276', 7.357082300883402)
('54268', 7.357058815727946)
('54609', 7.357057912138708)
('54690', 7.357057912138708)
('54269', 7.357013522477816)
('54803', 7.35700513783595)
('54193', 7.357005137835948)
('54802', 7.356991269616472)
('54192', 7.35699126961647)
('54801', 7.356967784461015)
('54810', 7.356967784461015)
('54286', 7.356866061877439)
('54716', 7.356866061877439)
('54278', 7.35685219365796)
('54287', 7.35685219365796)
('56312', 7.356849020462234)
('56321', 7.356849020462233)
('54279', 7.35680690040783)
('56320', 7.356803727212107)
('54706', 7.356429402228207)
('54296', 7.356429402228206)
('54297', 7.356415534008726)
('56302', 7.3564123608130005)
('54289', 7.35639204885327)
('54298', 7.35639204885327)
('56301', 7.3563888756575455)
('56310', 7.3563888756575455)
('53462', 7.356254333423092)
('53461', 7.356230848267636)
('56241', 7.356230707063439)
('53460', 7.3561855550175075)
('56240', 7.3561854138133125)
('54738', 7.35615169912097)
('53426', 7.356151261190598)
('53427', 7.356137392971117)
('53472', 7.3561373929711165)
('56231', 7.356121084610622)
('53428', 7.356113907815661)
('53471', 7.3561139078156605)
('54739', 7.35610640587084)
('56230', 7.356075791360496)
('53470', 7.356068614565532)
('53429', 7.356068614565531)
('54728', 7.3560347586689945)
('54729', 7.3559894654188644)
('53642', 7.355955047843484)
('53416', 7.355935022184634)
('56214', 7.355934880980438)
('53641', 7.355931562688028)
('56213', 7.355928330760117)
('53482', 7.355921153965155)
('53417', 7.355921153965154)
('53481', 7.355897668809699)
('53418', 7.355897668809698)
('53640', 7.3558862694378995)
('54783', 7.355855873037967)
('53480', 7.355852375559571)
('53419', 7.355852375559568)
('53624', 7.355851975610989)
('54782', 7.355842004818488)
('54718', 7.355818519663032)
('54781', 7.355818519663032)
('54780', 7.355773226412903)
('54719', 7.355773226412902)
('53614', 7.355635736605027)
('53406', 7.355498362535402)
('56204', 7.355498221331207)
('56203', 7.355491671110887)
('53407', 7.355484494315923)
('53492', 7.355484494315921)
('53408', 7.355461009160467)
('53491', 7.355461009160465)
('54793', 7.355419213388734)
('53409', 7.355415715910337)
('53490', 7.355415715910337)
('54792', 7.355405345169254)
('54708', 7.355381860013798)
('54791', 7.355381860013798)
('54790', 7.355336566763669)
('54709', 7.355336566763668)
('54160', 7.3552151036654605)
('53604', 7.355199076955794)
('54170', 7.355098163213484)
('56143', 7.355089490070083)
('56134', 7.355089490070082)
('56142', 7.355075621850605)
('54836', 7.355010482127611)
('54863', 7.355010482127611)
('54837', 7.354996613908131)
('54862', 7.354996613908131)
('54861', 7.354973128752675)
('56124', 7.354972549618109)
('56132', 7.3549659993977885)
('56123', 7.354965999397788)
('54860', 7.354927835502546)
('54167', 7.354893541675636)
('54176', 7.354893541675636)
('54826', 7.354893541675636)
('54873', 7.354893541675636)
('54180', 7.354881924207521)
('54827', 7.354879673456156)
('54872', 7.354879673456156)
('54168', 7.35487005652018)
('54871', 7.3548561883007)
('54169', 7.35482476327005)
('53246', 7.354816933464279)
('54870', 7.354810895050571)
('53247', 7.354803065244798)
('53264', 7.354784125946384)
('53248', 7.3547795800893425)
('53742', 7.354770257726904)
('53741', 7.354746772571448)
('53249', 7.3547342868392125)
('53740', 7.35470147932132)
('54816', 7.354677302669673)
('54186', 7.354677302669672)
('53274', 7.354667185494409)
('53724', 7.354667185494409)
('54817', 7.3546634344501935)
('54178', 7.354663434450193)
('54187', 7.354663434450193)
('54179', 7.354618141200063)
('53476', 7.354578534798033)
('53467', 7.354578534798032)
('53468', 7.354555049642576)
